pId	weight.kDa.	length	trypticCount	pI
IPI00107908	IPI00107908	36.08821411	319	17	5.17333984375
IPI00107911	IPI00107911	17.65616059	158	8	9.02685546875
IPI00107913	IPI00107913	15.2039981	132	4	10.02294921875
IPI00107937	IPI00107937	15.65462564	126	5	12.01513671875
IPI00107940	IPI00107940	66.80734888	574	37	5.23681640625
IPI00107941	IPI00107941	14.98447984	132	7	7.66455078125
IPI00107952	IPI00107952	16.66023001	148	6	8.68994140625
IPI00107953	IPI00107953	19.69008299	173	8	7.13720703125
IPI00107954	IPI00107954	87.41599221	791	36	5.08447265625
IPI00107958	IPI00107958	19.98992133	190	13	8.88037109375
IPI00107959	IPI00107959	53.29731041	473	30	5.98583984375
IPI00107960	IPI00107960	14.06297395	131	6	6.53662109375
IPI00107962	IPI00107962	10.73827823	103	6	5.69384765625
IPI00107963	IPI00107963	24.75067423	226	10	7.66455078125
IPI00107965	IPI00107965	11.59997987	102	5	6.62451171875
IPI00107975	IPI00107975	152.26472176	1366	76	8.32373046875
IPI00107979	IPI00107979	13.84683396	116	7	9.30517578125
IPI00107983	IPI00107983	27.12266277	237	15	7.25439453125
IPI00107985	IPI00107985	43.20962552	388	18	7.72314453125
IPI00107989	IPI00107989	17.2995709	168	8	10.78466796875
IPI00107992	IPI00107992	47.52629434	420	20	7.66455078125
IPI00107999	IPI00107999	196.27163362	1711	92	6.99072265625
IPI00108001	IPI00108001	38.37194342	344	16	10.12548828125
IPI00108002	IPI00108002	94.35795943	888	43	6.21435546875
IPI00108003	IPI00108003	109.09169025	977	42	5.79541015625
IPI00108004	IPI00108004	13.36910907	119	6	10.50634765625
IPI00108006	IPI00108006	15.66349377	136	6	7.67919921875
IPI00108011	IPI00108011	25.12489679	222	11	7.19580078125
IPI00108018	IPI00108018	18.85058438	174	11	8.20654296875
IPI00108034	IPI00108034	16.13442589	151	7	7.60595703125
IPI00108041	IPI00108041	77.5162776	685	35	6.10009765625
IPI00108042	IPI00108042	51.25189399	476	24	5.80810546875
IPI00108047	IPI00108047	12.21551988	115	6	12.76220703125
IPI00108049	IPI00108049	48.37621057	419	17	9.51025390625
IPI00108058	IPI00108058	17.7559129	159	10	8.88037109375
IPI00108060	IPI00108060	93.32848407	837	36	5.07177734375
IPI00108061	IPI00108061	10.00743248	89	6	9.90576171875
IPI00108063	IPI00108063	37.7940726	356	18	9.65673828125
IPI00108066	IPI00108066	55.02624711	485	31	5.90966796875
IPI00108067	IPI00108067	28.71112766	259	15	8.89501953125
IPI00108075	IPI00108075	44.42775362	396	17	5.19873046875
IPI00108079	IPI00108079	63.43236471	552	29	8.54345703125
IPI00108083	IPI00108083	34.03537333	315	13	9.29052734375
IPI00108084	IPI00108084	54.14025222	520	25	6.26513671875
IPI00108085	IPI00108085	43.3430589	392	18	7.82568359375
IPI00108086	IPI00108086	10.2511857	92	5	9.30517578125
IPI00108087	IPI00108087	16.29745599	148	7	10.28662109375
IPI00108098	IPI00108098	29.59087571	266	13	4.66552734375
IPI00108109	IPI00108109	59.58369976	529	27	7.04931640625
IPI00108110	IPI00108110	30.9254249	286	11	9.26123046875
IPI00108111	IPI00108111	20.84435634	192	11	10.19873046875
IPI00108112	IPI00108112	18.87385204	175	8	11.75146484375
IPI00108117	IPI00108117	76.98560645	721	35	8.00146484375
IPI00108122	IPI00108122	57.77709147	518	27	7.53271484375
IPI00108123	IPI00108123	58.5730767	540	26	8.68994140625
IPI00108125	IPI00108125	16.80339482	154	8	4.84326171875
IPI00108135	IPI00108135	10.91859342	102	6	9.42236328125
IPI00108138	IPI00108138	17.53345038	157	11	8.54345703125
IPI00108140	IPI00108140	25.9789399	251	12	8.20654296875
IPI00108143	IPI00108143	49.23027369	449	22	5.87158203125
IPI00108145	IPI00108145	15.06483051	133	6	8.42626953125
IPI00108147	IPI00108147	158.05382046	1354	90	5.46533203125
IPI00108149	IPI00108149	12.39567617	106	3	11.45849609375
IPI00108150	IPI00108150	160.49663488	1388	84	5.59228515625
IPI00108151	IPI00108151	40.80489629	368	19	4.94482421875
IPI00108152	IPI00108152	53.00507479	489	32	8.86572265625
IPI00108153	IPI00108153	28.83968524	274	12	6.11279296875
IPI00108154	IPI00108154	17.69714202	154	8	8.54345703125
IPI00108155	IPI00108155	35.76322075	323	11	6.50732421875
IPI00108170	IPI00108170	12.79959229	113	6	9.58349609375
IPI00108171	IPI00108171	52.06742145	465	24	6.93212890625
IPI00108174	IPI00108174	33.48515398	283	16	4.56396484375
IPI00108178	IPI00108178	42.71039649	373	22	6.65380859375
IPI00108184	IPI00108184	20.75935015	193	11	5.18603515625
IPI00108186	IPI00108186	25.03520534	219	13	8.17724609375
IPI00108187	IPI00108187	50.88942421	448	23	5.46533203125
IPI00108189	IPI00108189	13.75008872	126	8	6.45556640625
IPI00108190	IPI00108190	53.84546514	466	29	6.08740234375
IPI00108194	IPI00108194	23.41151338	200	12	10.50634765625
IPI00108200	IPI00108200	14.78793001	135	8	10.40380859375
IPI00108204	IPI00108204	37.21284865	335	9	4.60205078125
IPI00108205	IPI00108205	21.93952056	204	11	10.31591796875
IPI00108206	IPI00108206	193.71561792	1734	93	9.34912109375
IPI00108207	IPI00108207	37.71616741	346	15	8.08935546875
IPI00108220	IPI00108220	26.65809233	239	20	4.41162109375
IPI00108221	IPI00108221	14.53587286	128	8	12.58642578125
IPI00108222	IPI00108222	10.49705165	100	7	5.69384765625
IPI00108223	IPI00108223	28.38088956	259	14	5.63037109375
IPI00108227	IPI00108227	24.79534348	221	10	9.93505859375
IPI00108228	IPI00108228	13.41293264	130	6	10.40380859375
IPI00108239	IPI00108239	20.36035821	190	8	8.73388671875
IPI00108254	IPI00108254	21.20489753	185	10	4.89404296875
IPI00108258	IPI00108258	12.6139882	111	6	6.69775390625
IPI00108259	IPI00108259	12.28968826	118	6	13.36279296875
IPI00108260	IPI00108260	48.37479355	433	24	8.51416015625
IPI00108263	IPI00108263	17.53961141	151	6	6.85888671875
IPI00108266	IPI00108266	48.17512758	421	23	6.39208984375
IPI00108267	IPI00108267	11.9371696	106	5	6.12548828125
IPI00108270	IPI00108270	30.07581735	258	13	4.43701171875
IPI00108271	IPI00108271	36.02813253	326	18	9.61279296875
IPI00108275	IPI00108275	16.86749747	163	7	8.20654296875
IPI00108279	IPI00108279	14.76069368	139	9	11.76611328125
IPI00108285	IPI00108285	27.58221745	245	14	10.43310546875
IPI00108286	IPI00108286	25.14412888	225	11	10.55029296875
IPI00108287	IPI00108287	27.72850046	247	14	10.62353515625
IPI00108303	IPI00108303	13.91912669	127	6	5.90966796875
IPI00108306	IPI00108306	54.52120548	498	25	9.99365234375
IPI00108307	IPI00108307	62.72444243	567	27	8.35302734375
IPI00108314	IPI00108314	34.25603658	306	16	6.97607421875
IPI00108316	IPI00108316	51.0274613	444	24	5.28759765625
IPI00108318	IPI00108318	55.3326521	485	24	5.99853515625
IPI00108328	IPI00108328	71.17645723	625	34	5.60498046875
IPI00108329	IPI00108329	34.23098247	305	21	9.81787109375
IPI00108330	IPI00108330	18.58259474	164	8	7.88427734375
IPI00108335	IPI00108335	153.37415563	1312	80	6.53662109375
IPI00108338	IPI00108338	91.47115704	812	51	5.16064453125
IPI00108359	IPI00108359	35.19420918	317	13	4.44970703125
IPI00108362	IPI00108362	14.95687331	137	7	12.49853515625
IPI00108367	IPI00108367	21.23473329	185	11	9.40771484375
IPI00108368	IPI00108368	11.95007862	109	6	9.27587890625
IPI00108371	IPI00108371	50.91374072	452	23	5.26220703125
IPI00108372	IPI00108372	135.56345658	1189	65	7.59130859375
IPI00108373	IPI00108373	28.60870131	255	13	10.27197265625
IPI00108375	IPI00108375	30.73888476	275	13	8.76318359375
IPI00108376	IPI00108376	13.89387857	125	5	8.29443359375
IPI00108378	IPI00108378	93.11326818	820	46	5.85888671875
IPI00108380	IPI00108380	14.93052312	132	7	7.92822265625
IPI00108385	IPI00108385	13.48694862	120	7	10.02294921875
IPI00108386	IPI00108386	31.35829636	289	11	9.77392578125
IPI00108388	IPI00108388	290.34185898	2559	139	5.56689453125
IPI00108389	IPI00108389	207.50731724	1919	95	4.20849609375
IPI00108390	IPI00108390	41.68782118	372	20	5.75732421875
IPI00108391	IPI00108391	39.37463027	361	13	7.15185546875
IPI00108410	IPI00108410	40.69998492	361	22	6.49365234375
IPI00108418	IPI00108418	49.72071089	438	25	6.60986328125
IPI00108424	IPI00108424	14.92774868	141	11	11.98583984375
IPI00108426	IPI00108426	12.7157887	112	7	10.79931640625
IPI00108427	IPI00108427	37.19681784	325	18	7.76708984375
IPI00108431	IPI00108431	37.78555904	337	19	9.39306640625
IPI00108433	IPI00108433	11.30579762	102	6	10.37451171875
IPI00108437	IPI00108437	44.88665618	392	23	8.32373046875
IPI00108439	IPI00108439	46.80830613	400	24	6.40478515625
IPI00108443	IPI00108443	27.94465716	253	12	7.23974609375
IPI00108444	IPI00108444	33.46727241	303	12	7.98681640625
IPI00108450	IPI00108450	75.66639133	677	40	6.75634765625
IPI00108454	IPI00108454	28.53079637	249	9	11.19482421875
IPI00108457	IPI00108457	58.32578688	516	30	9.17333984375
IPI00108458	IPI00108458	35.36422471	318	20	9.77392578125
IPI00108467	IPI00108467	13.10751615	115	5	7.25439453125
IPI00108468	IPI00108468	21.85292245	201	7	8.20654296875
IPI00108473	IPI00108473	18.42825471	177	8	6.77099609375
IPI00108475	IPI00108475	26.12638561	234	11	5.63037109375
IPI00108476	IPI00108476	31.1004994	278	16	4.75439453125
IPI00108478	IPI00108478	44.51330547	392	25	4.43701171875
IPI00108481	IPI00108481	28.0527819	240	14	4.89404296875
IPI00108482	IPI00108482	12.01312862	107	7	9.61279296875
IPI00108484	IPI00108484	76.51986721	661	43	9.21728515625
IPI00108486	IPI00108486	32.42293373	292	11	6.44287109375
IPI00108492	IPI00108492	36.79004427	325	22	8.54345703125
IPI00108508	IPI00108508	130.7040198	1207	63	6.56591796875
IPI00108511	IPI00108511	68.91359737	608	39	5.36376953125
IPI00108521	IPI00108521	16.20023105	138	7	10.21337890625
IPI00108525	IPI00108525	12.20986547	112	6	7.31298828125
IPI00108535	IPI00108535	56.96257587	521	25	5.17333984375
IPI00108548	IPI00108548	33.97708353	305	20	6.36669921875
IPI00108549	IPI00108549	47.97777757	432	20	4.94482421875
IPI00108551	IPI00108551	12.48233215	113	7	7.38623046875
IPI00108557	IPI00108557	38.19387142	345	20	8.83642578125
IPI00108558	IPI00108558	15.19776218	139	8	10.41845703125
IPI00108563	IPI00108563	75.75948611	654	39	9.70068359375
IPI00108564	IPI00108564	11.38781982	97	7	10.02294921875
IPI00108565	IPI00108565	43.84866579	394	23	6.36669921875
IPI00108566	IPI00108566	54.23395516	473	25	9.58349609375
IPI00108567	IPI00108567	12.99786859	124	6	11.91259765625
IPI00108569	IPI00108569	88.12962226	790	41	6.17626953125
IPI00108570	IPI00108570	76.59820814	683	31	8.39697265625
IPI00108575	IPI00108575	23.94214125	214	10	4.55126953125
IPI00108576	IPI00108576	29.38638103	253	15	7.56201171875
IPI00108579	IPI00108579	33.24874082	286	18	4.89404296875
IPI00108584	IPI00108584	8.61038209	82	5	6.99072265625
IPI00108588	IPI00108588	17.05619279	149	7	11.15087890625
IPI00108594	IPI00108594	27.42029755	247	11	9.71533203125
IPI00108596	IPI00108596	15.09563788	135	5	8.54345703125
IPI00108597	IPI00108597	12.9833594	122	8	10.34521484375
IPI00108604	IPI00108604	13.13859564	115	5	8.17724609375
IPI00108606	IPI00108606	11.03710263	107	6	10.19873046875
IPI00108609	IPI00108609	14.29334333	130	8	9.01220703125
IPI00108610	IPI00108610	14.64046161	132	7	9.05615234375
IPI00108615	IPI00108615	71.6669807	638	35	10.18408203125
IPI00108616	IPI00108616	30.84587293	269	16	7.98681640625
IPI00108619	IPI00108619	16.77842961	146	5	8.55810546875
IPI00108625	IPI00108625	12.76031361	110	8	8.61669921875
IPI00108627	IPI00108627	11.30672457	101	5	8.80712890625
IPI00108628	IPI00108628	73.36101793	630	41	8.67529296875
IPI00108650	IPI00108650	83.70336879	775	32	4.04345703125
IPI00108651	IPI00108651	67.5995101	588	34	8.01611328125
IPI00108657	IPI00108657	44.0648664	425	11	5.12255859375
IPI00108658	IPI00108658	15.93506704	146	6	8.03076171875
IPI00108662	IPI00108662	13.91281822	128	7	7.54736328125
IPI00108663	IPI00108663	19.57320996	182	10	11.82470703125
IPI00108667	IPI00108667	18.91254046	171	11	11.01904296875
IPI00108676	IPI00108676	71.3020037	634	21	4.71630859375
IPI00108679	IPI00108679	44.84887611	395	17	10.30126953125
IPI00108683	IPI00108683	24.57942864	203	10	6.36669921875
IPI00108685	IPI00108685	93.62025038	829	43	6.65380859375
IPI00108700	IPI00108700	12.84033737	117	6	8.58740234375
IPI00108711	IPI00108711	27.7171012	260	14	10.02294921875
IPI00108716	IPI00108716	12.94524898	117	4	7.89892578125
IPI00108717	IPI00108717	13.50817485	131	9	11.79541015625
IPI00108718	IPI00108718	25.44489505	224	14	8.17724609375
IPI00108720	IPI00108720	15.05027492	136	8	8.57275390625
IPI00108721	IPI00108721	276.15064606	2514	138	5.13525390625
IPI00108722	IPI00108722	12.33235418	112	6	7.06396484375
IPI00108725	IPI00108725	43.004685	380	22	8.06005859375
IPI00108726	IPI00108726	12.46143708	112	5	9.40771484375
IPI00108727	IPI00108727	18.31646694	165	10	7.09326171875
IPI00108737	IPI00108737	22.45717026	196	11	6.44287109375
IPI00108738	IPI00108738	53.4740021	466	28	8.42626953125
IPI00108764	IPI00108764	42.05478002	374	14	7.91357421875
IPI00108774	IPI00108774	43.47180619	416	17	4.46240234375
IPI00108775	IPI00108775	70.24472377	614	29	5.49072265625
IPI00108776	IPI00108776	55.98201395	496	25	9.02685546875
IPI00108780	IPI00108780	107.57792629	977	56	6.63916015625
IPI00108783	IPI00108783	319.37261257	2841	156	7.00537109375
IPI00108791	IPI00108791	73.76945438	649	30	4.47509765625
IPI00108811	IPI00108811	57.56720042	515	27	7.50341796875
IPI00108818	IPI00108818	65.13547746	577	32	8.54345703125
IPI00108830	IPI00108830	13.86871426	123	7	5.65576171875
IPI00108844	IPI00108844	31.13442184	278	17	5.00830078125
IPI00108849	IPI00108849	39.02994853	337	19	9.67138671875
IPI00108870	IPI00108870	110.67049117	994	54	5.19873046875
IPI00108883	IPI00108883	32.16180398	288	17	5.87158203125
IPI00108895	IPI00108895	47.23353279	418	27	4.91943359375
IPI00108908	IPI00108908	28.19335647	255	12	5.65576171875
IPI00108924	IPI00108924	44.09830818	387	20	6.41748046875
IPI00108929	IPI00108929	15.86156285	147	9	12.41064453125
IPI00108937	IPI00108937	30.90939472	276	15	4.71630859375
IPI00108938	IPI00108938	12.42004884	108	4	9.26123046875
IPI00108960	IPI00108960	51.82657636	479	26	6.17626953125
IPI00108970	IPI00108970	28.34636503	250	15	8.51416015625
IPI00108972	IPI00108972	24.66198593	208	12	4.77978515625
IPI00108974	IPI00108974	24.29769881	209	11	7.82568359375
IPI00108977	IPI00108977	161.99500618	1437	81	5.87158203125
IPI00108978	IPI00108978	139.08756225	1255	70	6.72705078125
IPI00108980	IPI00108980	62.34996049	557	31	5.89697265625
IPI00108982	IPI00108982	127.43033469	1155	58	5.24951171875
IPI00108989	IPI00108989	52.3328187	488	20	4.71630859375
IPI00108996	IPI00108996	29.87982387	271	12	8.64599609375
IPI00108997	IPI00108997	27.58245799	243	11	8.17724609375
IPI00108998	IPI00108998	35.75666594	322	21	9.87646484375
IPI00108999	IPI00108999	17.2524966	151	8	7.69384765625
IPI00109000	IPI00109000	29.19741342	260	13	9.43701171875
IPI00109002	IPI00109002	11.60466554	102	5	6.90283203125
IPI00109005	IPI00109005	34.450839	313	18	5.70654296875
IPI00109006	IPI00109006	16.33005534	148	5	5.32568359375
IPI00109010	IPI00109010	13.70237022	127	7	11.82470703125
IPI00109012	IPI00109012	22.31367867	192	9	4.66552734375
IPI00109015	IPI00109015	31.83009774	278	18	7.89892578125
IPI00109032	IPI00109032	12.28209596	115	5	7.13720703125
IPI00109033	IPI00109033	31.68823252	289	13	5.69384765625
IPI00109035	IPI00109035	21.07261035	179	6	7.95751953125
IPI00109040	IPI00109040	25.8753009	239	11	9.93505859375
IPI00109043	IPI00109043	18.43060765	164	10	5.61767578125
IPI00109044	IPI00109044	19.86451072	172	11	4.39892578125
IPI00109061	IPI00109061	49.9029359	445	23	4.51318359375
IPI00109062	IPI00109062	14.94417284	138	4	4.17041015625
IPI00109063	IPI00109063	51.65352832	459	19	7.76708984375
IPI00109065	IPI00109065	60.8209254	552	31	9.78857421875
IPI00109069	IPI00109069	8.88355902	84	6	7.60595703125
IPI00109070	IPI00109070	79.86329719	721	37	5.43994140625
IPI00109072	IPI00109072	13.34970135	123	5	8.01611328125
IPI00109073	IPI00109073	49.53589252	444	23	4.50048828125
IPI00109074	IPI00109074	14.95557086	128	6	9.94970703125
IPI00109075	IPI00109075	93.7019423	822	44	6.36669921875
IPI00109082	IPI00109082	12.47054452	113	6	6.81494140625
IPI00109087	IPI00109087	29.09155008	255	14	8.19189453125
IPI00109088	IPI00109088	15.23589656	138	6	10.37451171875
IPI00109089	IPI00109089	49.04621446	457	20	4.97021484375
IPI00109090	IPI00109090	15.82767979	147	9	7.89892578125
IPI00109092	IPI00109092	15.57301123	140	6	9.31982421875
IPI00109095	IPI00109095	19.11931376	162	6	10.50634765625
IPI00109102	IPI00109102	17.35996852	156	8	4.47509765625
IPI00109103	IPI00109103	16.27119742	143	7	4.52587890625
IPI00109108	IPI00109108	85.88661811	753	36	7.79638671875
IPI00109109	IPI00109109	24.56949362	222	12	8.64599609375
IPI00109110	IPI00109110	34.07643511	301	15	9.81787109375
IPI00109118	IPI00109118	28.17510183	259	11	4.98291015625
IPI00109119	IPI00109119	52.8529831	460	26	8.47021484375
